date,event_name,venue,gender,match_type,winner,won_by_runs,won_by_wickets,player_of_match,toss_winner,toss_decision,batting_first_team,batting_first_runs,batting_first_wickets,batting_first_overs,batting_second_team,batting_second_runs,batting_second_wickets,batting_second_overs,target_runs,target_overs,file_name
3/23/2007,ICC World Cup,Queen's Park Oval,male,ODI,Sri Lanka,69,,M Muralitharan,India,field,Sri Lanka,254,6,50,India,185,10,43.3,255,50,247476.json
3/23/2007,ICC World Cup,Sabina Park,male,ODI,West Indies,,8,S Chanderpaul,Ireland,bat,Ireland,183,8,48,West Indies,190,2,38.1,190,48,247477.json
3/24/2007,ICC World Cup,Warner Park,male,ODI,Australia,83,,ML Hayden,South Africa,field,Australia,377,6,50,South Africa,294,10,48,378,50,247478.json
3/24/2007,ICC World Cup,Beausejour Stadium,male,ODI,England,,7,EC Joyce,Kenya,bat,Kenya,177,10,43,England,178,3,33,178,43,247479.json
3/25/2007,ICC World Cup,Queen's Park Oval,male,ODI,Bangladesh,,7,Mohammad Ashraful,Bangladesh,field,Bermuda,94,9,21,Bangladesh,96,3,17.3,96,21,247480.json
3/27/2007,ICC World Cup,Sir Vivian Richards Stadium,male,ODI,Australia,103,,ML Hayden,West Indies,field,Australia,322,6,50,West Indies,219,10,45.3,323,50,247481.json
3/28/2007,ICC World Cup,Providence Stadium,male,ODI,South Africa,,1,CK Langeveldt,Sri Lanka,bat,Sri Lanka,209,10,49.3,South Africa,212,9,48.2,210,50,247482.json
3/29/2007,ICC World Cup,Sir Vivian Richards Stadium,male,ODI,New Zealand,,7,JDP Oram,New Zealand,field,West Indies,177,10,44.4,New Zealand,179,3,39.2,178,50,247483.json
3/30/2007,ICC World Cup,Providence Stadium,male,ODI,England,48,,PD Collingwood,England,bat,England,266,7,50,Ireland,218,10,48.1,267,50,247484.json
3/31/2007,ICC World Cup,Sir Vivian Richards Stadium,male,ODI,Australia,,10,GD McGrath,Australia,field,Bangladesh,104,6,22,Australia,106,0,13.5,105,22,247485.json
4/1/2007,ICC World Cup,Providence Stadium,male,ODI,Sri Lanka,113,,ST Jayasuriya,West Indies,field,Sri Lanka,303,5,50,West Indies,190,10,44.3,304,50,247486.json
4/2/2007,ICC World Cup,Sir Vivian Richards Stadium,male,ODI,New Zealand,,9,SE Bond,New Zealand,field,Bangladesh,174,10,48.3,New Zealand,178,1,29.2,175,50,247487.json
4/3/2007,ICC World Cup,Providence Stadium,male,ODI,South Africa,,7,JH Kallis,South Africa,field,Ireland,152,8,35,South Africa,165,3,31.3,160,35,247488.json
4/4/2007,ICC World Cup,Sir Vivian Richards Stadium,male,ODI,Sri Lanka,2,,RS Bopara,England,field,Sri Lanka,235,10,50,England,233,8,49.5,236,50,247489.json
4/7/2007,ICC World Cup,Providence Stadium,male,ODI,Bangladesh,67,,Mohammad Ashraful,South Africa,field,Bangladesh,251,8,50,South Africa,184,10,48.3,252,50,247490.json
4/8/2007,ICC World Cup,Sir Vivian Richards Stadium,male,ODI,Australia,,7,SW Tait,England,bat,England,247,10,49.5,Australia,248,3,47.2,248,50,247491.json
4/9/2007,ICC World Cup,Providence Stadium,male,ODI,New Zealand,129,,PG Fulton,New Zealand,bat,New Zealand,263,8,50,Ireland,134,10,37.4,264,50,247492.json
4/10/2007,ICC World Cup,National Cricket Stadium,male,ODI,South Africa,67,,AB de Villiers,West Indies,field,South Africa,356,4,50.1,West Indies,289,9,50,357,50,247493.json
4/11/2007,ICC World Cup,Kensington Oval,male,ODI,England,,4,SI Mahmood,England,field,Bangladesh,143,10,37.2,England,147,6,44.5,144,50,247494.json
4/12/2007,ICC World Cup,National Cricket Stadium,male,ODI,Sri Lanka,,6,WPUJC Vaas,New Zealand,bat,New Zealand,219,7,50,Sri Lanka,222,4,45.1,220,50,247495.json
4/13/2007,ICC World Cup,Kensington Oval,male,ODI,Australia,,9,GD McGrath,Australia,field,Ireland,91,10,30,Australia,92,1,12.2,92,50,247496.json
4/14/2007,ICC World Cup,National Cricket Stadium,male,ODI,New Zealand,,5,CD McMillan,New Zealand,field,South Africa,193,7,50,New Zealand,196,5,48.2,194,50,247497.json
4/15/2007,ICC World Cup,Kensington Oval,male,ODI,Ireland,74,,WTS Porterfield,Ireland,bat,Ireland,243,7,50,Bangladesh,169,10,41.2,244,50,247498.json
4/16/2007,ICC World Cup,National Cricket Stadium,male,ODI,Australia,,7,NW Bracken,Sri Lanka,bat,Sri Lanka,226,10,49.4,Australia,232,3,42.4,227,50,247499.json
4/17/2007,ICC World Cup,Kensington Oval,male,ODI,South Africa,,9,AJ Hall,England,bat,England,154,10,48,South Africa,157,1,19.2,155,50,247500.json
4/18/2007,ICC World Cup,National Cricket Stadium,male,ODI,Sri Lanka,,8,MF Maharoof,Sri Lanka,field,Ireland,77,10,27.4,Sri Lanka,81,2,10,78,50,247501.json
4/19/2007,ICC World Cup,Kensington Oval,male,ODI,West Indies,99,,RR Sarwan,Bangladesh,field,West Indies,230,5,50,Bangladesh,131,10,43.5,231,50,247502.json
4/20/2007,ICC World Cup,National Cricket Stadium,male,ODI,Australia,215,,ML Hayden,Australia,bat,Australia,348,6,50,New Zealand,133,10,25.5,349,50,247503.json
4/21/2007,ICC World Cup,Kensington Oval,male,ODI,England,,1,KP Pietersen,England,field,West Indies,300,10,49.5,England,301,9,49.5,301,50,247504.json
4/24/2007,ICC World Cup,Sabina Park,male,ODI,Sri Lanka,81,,DPMD Jayawardene,Sri Lanka,bat,Sri Lanka,289,5,50,New Zealand,208,10,41.4,290,50,247505.json
4/25/2007,ICC World Cup,Beausejour Stadium,male,ODI,Australia,,7,GD McGrath,South Africa,bat,South Africa,149,10,43.5,Australia,153,3,31.3,150,50,247506.json
4/28/2007,ICC World Cup,Kensington Oval,male,ODI,Australia,53,,AC Gilchrist,Australia,bat,Australia,281,4,38,Sri Lanka,215,8,36,269,36,247507.json
5/10/2007,India in Bangladesh ODI Series,Shere Bangla National Stadium,male,ODI,India,,5,MS Dhoni,Bangladesh,bat,Bangladesh,250,7,47,India,251,5,46,251,47,282688.json
5/12/2007,India in Bangladesh ODI Series,Shere Bangla National Stadium,male,ODI,India,46,,G Gambhir,India,bat,India,284,8,49,Bangladesh,238,9,49,285,49,282689.json
6/6/2007,Afro-Asia Cup,M Chinnaswamy Stadium,male,ODI,Asia XI,34,,SM Pollock,Asia XI,bat,Asia XI,317,9,50,Africa XI,283,10,47.5,318,50,289107.json
6/9/2007,Afro-Asia Cup,MA Chidambaram Stadium,male,ODI,Asia XI,31,,CRD Fernando,Asia XI,bat,Asia XI,337,7,50,Africa XI,306,10,49.5,338,50,289108.json
6/10/2007,Afro-Asia Cup,MA Chidambaram Stadium,male,ODI,Asia XI,13,,MS Dhoni,Asia XI,bat,Asia XI,331,8,50,Africa XI,318,7,50.1,332,50,289110.json
6/23/2007,,Civil Service Cricket Club,male,ODI,India,,9,G Gambhir,India,field,Ireland,193,10,50,India,171,1,34.5,171,39,293071.json
6/24/2007,,Civil Service Cricket Club,male,ODI,South Africa,42,,AR Cusack,Ireland,field,South Africa,173,4,31,Ireland,131,10,30.5,174,31,293072.json
6/26/2007,Future Cup,Civil Service Cricket Club,male,ODI,South Africa,,4,JH Kallis,South Africa,field,India,242,8,50,South Africa,245,6,49.3,243,50,293076.json
6/29/2007,Future Cup,Civil Service Cricket Club,male,ODI,India,,6,SR Tendulkar,India,field,South Africa,226,6,50,India,227,4,49.1,227,50,293077.json
7/1/2007,NatWest Series,Lord's,male,ODI,England,79,,FH Edwards,West Indies,field,England,225,10,49.5,West Indies,146,10,39.5,226,50,258465.json
7/1/2007,Future Cup,Civil Service Cricket Club,male,ODI,India,,6,Yuvraj Singh,India,field,South Africa,148,7,31,India,152,4,30.2,149,31,293078.json
7/4/2007,NatWest Series,Edgbaston,male,ODI,West Indies,61,,S Chanderpaul,England,field,West Indies,278,5,50,England,217,10,46,279,50,258466.json
7/7/2007,NatWest Series,Trent Bridge,male,ODI,West Indies,93,,DBL Powell,West Indies,bat,West Indies,289,5,50,England,196,10,44.2,290,50,258467.json
7/13/2007,Quadrangular Series (Ireland),Civil Service Cricket Club,male,ODI,,,,,Scotland,bat,Scotland,71,5,22.2,,,,,,,295785.json
7/14/2007,Quadrangular Series (Ireland),Clontarf Cricket Club Ground,male,ODI,,,,,Ireland,bat,Ireland,84,4,17.2,,,,,,,295788.json
7/20/2007,Bangladesh in Sri Lanka ODI Series,P Saravanamuttu Stadium,male,ODI,Sri Lanka,70,,CRD Fernando,Bangladesh,field,Sri Lanka,234,6,50,Bangladesh,164,10,40.3,235,50,293481.json
7/23/2007,Bangladesh in Sri Lanka ODI Series,R Premadasa Stadium,male,ODI,Sri Lanka,,5,ST Jayasuriya,Sri Lanka,field,Bangladesh,137,10,46.5,Sri Lanka,141,5,31.1,138,50,293482.json
